TIME,HV,SPREAD,CORRECT,TOTAL,%CORRECT,OBJ1-MEAN,OBJ1-STDEV,OBJ2-MEAN,OBJ2-STDEV,OBJ3-MEAN,OBJ3-STDEV,OBJ4-MEAN,OBJ4-STDEV,OBJ5-MEAN,OBJ5-STDEV
100,1.0,0.6837435184457042,0,229,0.0,1213.6768558951965,116.0085090866511,819.759825327511,21.13584574875918,425.9694323144105,14.435035318831023,1973.7903930131004,82.48752555854314,8216.534693839269,222.37860479387226,
200,1.0,0.8500574043513758,0,284,0.0,1163.8239436619717,105.19316901292949,821.7007042253521,25.90105494746092,422.25704225352115,16.43770098848823,1979.4788732394366,105.27754855483825,8187.486169869644,266.56758353644295,
300,1.0,0.9462640425281174,0,270,0.0,1140.1444444444444,131.56169326898492,822.7740740740741,30.173401244493135,419.72962962962964,17.684190780652923,1987.3555555555556,127.47920479168742,8166.787972033519,320.1076977526995,
400,1.0,1.020945048470841,0,281,0.0,1122.2989323843417,144.43093498647235,823.6512455516014,31.571408191187476,418.7864768683274,19.180096872990354,1986.508896797153,132.6662554310616,8161.768278984768,341.9266888740957,
500,1.0,1.030918436761254,0,288,0.0,1108.9131944444443,143.8425889000271,824.7743055555555,31.07329651746322,417.25694444444446,18.76897059857697,1989.4340277777778,131.86865764801018,8144.347108522825,341.9227150208336,
600,1.0,1.0161865168616888,0,283,0.0,1099.3674911660778,139.635135110437,823.8480565371025,32.15776406265166,419.3250883392226,20.132782881334773,1980.8480565371024,133.91129475781403,8151.889951994873,355.4180305670213,
700,1.0,0.9742399196082242,0,283,0.0,1091.0989399293287,133.3373366111881,822.8162544169611,33.24852584365599,419.35335689045934,20.907220954124256,1981.6042402826856,135.90471192739957,8165.4884243154,361.8218366543453,
800,1.0,0.9880428314532174,0,284,0.0,1085.5492957746478,139.0267011270304,823.3133802816901,34.08952118717537,418.88380281690144,21.85508977146663,1978.5457746478874,137.19594300824295,8162.5811577401055,372.4057434538943,
900,1.0,0.9548249968490392,0,277,0.0,1065.4223826714801,135.2090717112696,820.5956678700361,35.4442010655465,420.0469314079422,23.405419926151346,1985.28880866426,133.56782637665793,8188.731075402842,384.31797989587324,
1000,1.0,0.9950065377484069,0,265,0.0,1050.2981132075472,133.7260145879331,817.8981132075472,37.62266724701528,421.811320754717,25.464037981653224,1988.920754716981,132.0578394699389,8212.412134840964,408.1824909607714,
1100,1.0,1.0005590117384566,0,276,0.0,1046.105072463768,133.57251128646033,819.1702898550725,37.62125306957066,420.9710144927536,25.05456133917216,1984.5,132.1086920748939,8193.751277817359,409.61489990755405,
1200,1.0,1.0138933607899778,0,284,0.0,1038.7429577464789,131.07714957439197,818.7746478873239,37.86296536198368,422.09154929577466,24.97799170130915,1979.3521126760563,133.85609243307564,8191.889914127904,412.1301083505181,
1300,1.0,0.9834011173477809,0,291,0.0,1037.8109965635738,134.04754509661691,820.3333333333334,38.741041162211765,421.49828178694156,25.843751306337612,1975.2611683848797,137.29124923874502,8177.245463674043,416.8585077382928,
1400,1.0,0.9602459134307473,0,288,0.0,1028.263888888889,125.2825964520429,820.3298611111111,39.13614338977659,421.5763888888889,26.10517718478013,1973.4027777777778,139.8317599953424,8178.2020655112765,421.34977915397945,
1500,1.0,0.9801034252331183,0,288,0.0,1021.3645833333334,116.81661076754149,821.34375,39.27038433651369,420.0520833333333,26.51664956198382,1974.267361111111,139.1625549940813,8170.966397188295,421.9594133194952,
1600,1.0,1.0195068905549765,0,288,0.0,1017.4826388888889,110.33197873656192,822.0069444444445,39.29517862137544,419.9236111111111,27.308443917259336,1968.326388888889,135.78623057857394,8163.229283925747,418.74526654239213,
1700,1.0,0.9916475600650551,0,289,0.0,1019.7093425605536,114.97214323019708,823.4844290657439,39.67873494305174,419.121107266436,27.27869501171431,1963.7024221453287,137.1718848025804,8143.50366714221,423.5285341958309,
1800,1.0,0.982131465174322,0,290,0.0,1016.0310344827586,112.19470023579012,822.4827586206897,40.5152339928262,419.4068965517241,28.07023126858875,1965.9551724137932,138.14168660000644,8148.315395245813,431.12500159967436,
1900,1.0,0.9932757059012391,0,284,0.0,1011.306338028169,104.6765028147174,822.8521126760563,40.02410315753206,419.63380281690144,28.494990632958388,1959.5352112676057,136.27319091803614,8143.032201529131,422.59506839555644,
2000,1.0,0.9807252116613185,0,287,0.0,1000.5505226480836,91.98699001749893,821.9094076655052,40.206593865204184,420.2369337979094,29.15630641625963,1960.8606271777003,135.07040911473536,8152.143824537212,421.8766547759494,
3000,1.0,0.9659524747593211,0,285,0.0,992.8245614035088,89.01979334543397,820.9263157894737,40.15257972230947,419.71228070175437,28.326443353234687,1967.901754385965,140.4253594471793,8163.059749567492,420.03528073323895,
4000,1.0,0.9816834032180264,0,289,0.0,991.6955017301038,91.70313175802251,821.3702422145328,41.199295526069925,419.8269896193772,28.40313774036529,1963.5501730103806,143.907259670189,8158.771401386413,429.9790134750116,
5000,1.0,1.0065659109492844,0,282,0.0,983.4007092198582,99.08173643992576,822.2872340425532,41.83239667408999,417.6241134751773,27.76332061789087,1970.2836879432625,145.88883002760912,8148.515542358994,438.89983733769805,
6000,1.0,0.9899416598971131,0,284,0.0,965.8028169014085,102.6818030038497,820.8943661971831,44.12310048522519,418.52464788732397,28.990578087264204,1968.1338028169014,150.92826525119733,8145.870173294146,463.82565510169115,
7000,1.0,0.9904303337360266,0,285,0.0,945.1578947368421,107.48352619162343,819.7543859649123,48.2923410082961,418.43859649122805,29.497914017155455,1972.178947368421,164.6688316536867,8147.853502220831,505.7328610255554,
8000,1.0,1.0556414902141609,0,289,0.0,914.083044982699,105.53095295157009,820.5155709342561,48.34156800303827,415.9757785467128,28.8048457122164,1980.9134948096885,168.49821944548384,8137.119663627914,506.6973609044526,
9000,1.0,1.0358827167901437,0,274,0.0,875.2518248175182,93.53514550999076,821.9744525547445,47.43019539195765,414.1021897810219,28.33668398804694,1973.448905109489,166.10925285986488,8115.796624000398,488.0848213156343,
10000,1.0,1.053629189968207,0,284,0.0,842.0176056338029,78.49726181579118,816.9647887323944,47.434522991532674,415.0774647887324,28.144139545486226,1988.838028169014,163.34566033733944,8162.67028640044,477.31784075839346,
11000,1.0,0.9765731242896384,0,274,0.0,837.521897810219,80.51414094895803,820.3832116788321,50.4695023460444,413.93065693430657,30.19001154982648,1971.7773722627737,166.81025782523906,8133.202655318684,496.1469442179182,
12000,1.0,1.0583094068465344,0,281,0.0,823.4199288256227,81.67116707668342,817.9288256227758,51.48141966980614,413.87544483985766,30.70422789400902,1982.950177935943,173.2420940202979,8145.384461778743,507.5765126518464,
13000,1.0,1.0396533446287168,0,284,0.0,814.8345070422536,83.30618101425326,821.7077464788732,53.503282213315664,413.21830985915494,31.46619384180271,1966.2077464788733,182.0738584750487,8106.3353878847165,518.843747725981,
14000,1.0,1.028387978395373,0,280,0.0,803.7535714285714,85.60544868399299,821.3892857142857,55.44097787793094,413.29285714285714,33.509592747785675,1965.6392857142857,185.2452868868072,8114.590487297674,529.0062615773171,
15000,1.0,1.0035387674812928,0,290,0.0,794.6586206896552,83.38157415425982,819.8344827586207,55.813669539738044,413.6275862068965,34.464163261945245,1969.9689655172415,183.409178132033,8128.641174831002,538.7687235674492,
16000,1.0,1.0353534761019394,0,287,0.0,788.5470383275261,84.73325875541502,820.3937282229965,56.4940411495185,412.3693379790941,35.118358867220515,1970.191637630662,187.19544333857553,8111.800990591283,548.0853209042073,
17000,1.0,1.070861547774275,0,288,0.0,784.1180555555555,87.61381459182249,821.2291666666666,57.215991688173304,414.1458333333333,35.85028063387756,1953.923611111111,190.88716780183088,8086.502871926835,555.2164205362428,
18000,1.0,1.070367474846685,0,286,0.0,778.8111888111888,93.65163472144688,821.3321678321678,60.435987173621584,414.5839160839161,37.61209288935454,1949.2027972027972,204.6126498916236,8081.887292477972,595.3520590575779,
19000,1.0,1.0431065566126796,0,275,0.0,776.9418181818182,97.53024834454564,825.7927272727272,62.74071276305785,412.6618181818182,40.3029233810384,1936.1527272727274,204.17598100617695,8034.819442064252,611.6833543515864,
20000,1.0,1.0616118755902062,0,289,0.0,774.8200692041522,107.94235683917238,827.242214532872,68.22390992718965,411.9100346020761,42.623143838251096,1930.8685121107267,217.2485780129556,8019.866025669375,669.5686868476489,
30000,1.0,1.0874843701493826,0,285,0.0,735.8070175438596,122.06711392357595,835.680701754386,86.39480864560694,409.9859649122807,54.63499116094614,1868.361403508772,265.57676245470896,7891.353976514584,854.3719655296188,
40000,1.0,1.1044263120864892,0,293,0.0,696.8566552901024,124.8666453100956,830.3037542662116,102.10133435647674,410.55631399317406,65.30114855648102,1875.3276450511946,313.15009947130955,7913.698694901086,1008.3354655838197,
50000,1.0,1.1318566432610575,0,289,0.0,664.3529411764706,133.6779427861726,823.006920415225,116.5854749207142,414.719723183391,73.24321472825724,1876.9480968858131,355.6301012742937,7960.57553872033,1165.8721119903435,
60000,1.0,1.1270209608119162,0,294,0.0,656.8401360544218,147.63566903038543,826.4013605442177,129.13549072247838,415.67687074829934,82.819414701097,1841.095238095238,398.7615664129039,7905.597336871968,1293.2984138823397,
70000,1.0,1.116260439089868,0,288,0.0,644.1006944444445,158.18018997180957,821.6076388888889,138.63775068093685,416.69097222222223,87.1376922950065,1851.0208333333333,447.72219760990095,7928.154059456713,1394.1197851643683,
80000,1.0,1.1620750801950122,0,296,0.0,634.527027027027,169.44150892038087,819.0236486486486,150.30296919505454,414.9628378378378,95.33774583624195,1863.912162162162,480.53696639103435,7935.96226127367,1519.8498109012485,
90000,1.0,1.1860776580493997,0,289,0.0,631.9965397923876,182.95695975549833,820.8650519031141,160.9777406975381,411.6020761245675,100.14054550391266,1864.01384083045,522.3843059761948,7898.852874779435,1621.5290874288855,
100000,1.0,1.1204140140982513,0,296,0.0,631.4324324324324,193.59016204350158,824.418918918919,170.9200071122854,411.5371621621622,109.42156871501516,1840.2668918918919,540.9371557504815,7844.445527844034,1727.3271858423448,
110000,1.0,1.095588253874388,0,290,0.0,613.9172413793103,197.71955072075602,812.6137931034483,179.1381738407302,417.84137931034485,115.55719144496904,1862.8896551724138,567.6262261837495,7948.600515059418,1815.399796705143,
120000,1.0,1.1883488099317139,0,296,0.0,609.6385135135135,207.25863788071362,811.581081081081,191.09557936510544,416.72297297297297,124.16577415794784,1872.4527027027027,603.5362831348773,7949.238267996586,1941.6242719786233,
180000,1.0,1.1445089521631648,0,287,0.0,581.7456445993031,245.8407350514702,801.9825783972126,231.30599454212566,413.96515679442507,147.55750844381365,1914.3310104529617,731.79801851975,7993.469829655976,2364.9062446859716,
240000,1.0,1.2052933111107431,0,295,0.0,568.1864406779661,270.7228537544592,799.806779661017,253.91883119491575,406.8271186440678,161.32710410472396,1947.993220338983,829.6487759765935,7979.0577023699,2589.233082828811,
300000,1.0,1.1686577078826337,0,293,0.0,559.1092150170648,300.82101821582825,799.4709897610921,281.31438817554914,401.2730375426621,179.18105470494385,1964.5699658703072,908.33433391545,7953.603812793529,2858.175607279557,
360000,1.0,1.1712599157707575,0,296,0.0,543.7635135135135,302.342953682915,791.3918918918919,287.27824903165055,403.5945945945946,185.27391474326626,1983.0135135135135,937.8772465238268,8014.199467415557,2933.041827466062,
420000,1.0,1.0859909482906984,0,295,0.0,548.8881355932203,315.00473662553713,798.728813559322,296.85072608393335,398.62033898305083,190.75155087861523,1963.535593220339,964.8120979373876,7930.434977323081,3025.731915721618,
480000,1.0,1.1471961837360773,0,299,0.0,543.3177257525084,325.8872366687446,793.9130434782609,307.3095992040894,402.12040133779266,199.41085187284813,1965.9163879598661,980.959780010879,7968.662892941784,3133.483536964449,
540000,1.0,1.1702456454850076,0,300,0.0,538.5533333333333,330.42623052993565,790.1966666666667,313.5754741507838,405.14,203.90082654728667,1964.3666666666666,995.8140918643174,7996.7704678045275,3202.107992832306,
600000,1.0,1.0229292867170428,0,297,0.0,534.1245791245791,335.5400209992289,786.2592592592592,319.4737625740003,407.1952861952862,208.91021280640422,1971.7205387205388,1007.5445128977763,8031.927282954985,3270.4516771798717,
1200000,1.0,0.9732567699516559,8,300,2.6666667,520.5666666666667,342.2790073739388,779.93,334.93994252701475,414.9266666666667,223.45781396546033,1946.3733333333332,1054.7172862694324,8068.617922225981,3427.7813295032815,
1800000,1.0,0.8552114980438034,10,300,3.3333335,523.6366666666667,344.2542345257192,784.7966666666666,335.5210504904607,410.97,228.20234245072953,1936.04,1069.8231154728337,8011.518583438019,3429.9974864082524,
2400000,1.0,0.854447052658258,6,299,2.0066888,527.0602006688963,345.53366662385923,788.6755852842809,335.795643439705,408.33110367892976,230.065515030989,1928.1538461538462,1073.9744255020066,7961.693870531898,3433.666206465923,
3000000,1.0,0.7659296509657191,7,300,2.3333333,519.4566666666667,339.3751338203133,784.0166666666667,332.9231088237777,409.16333333333336,230.21134490337835,1946.43,1070.7322409298542,8001.042222274798,3410.8639647156074,
